Field=#~Integer~#~50|Field=Designator~String~Designator~179|Field=Part Number~String~Part Number~327|Field=Value~String~Value~150|Field=Description~String~Description~78|Field=PackageReference~String~PackageReference~145|Field=Quantity~Integer~Quantity~21|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PLC1.PrjPcb|ReportField=ProjectFullPath~C:\Users\User5\Desktop\WORK\PLC\MONITOR\PROJECT\PLC1.PrjPcb|ReportField=Title~Bill of Materials For Project [PLC1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~331|ReportField=ReportTime~17:04:06|ReportField=ReportDate~08.02.2016|ReportField=ReportDateTime~08.02.2016 17:04:06|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Тертычный|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~08.02.2016|ReportField=CurrentTime~17:01:04|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\User5\Desktop\WORK\PLC\MONITOR\PROJECT\PLC1.SchDoc|ReportField=DocumentName~PLC1.SchDoc|ReportField=DocumentNumber~|ReportField=DocumentType~Панель индикации|ReportField=DocumentType1str~{Документ}|ReportField=DocumentType2str~{Документ}|ReportField=DrawnBy~Тертычный|ReportField=Engineer~|ReportField=EngineerName~|ReportField=ImagePath~|ReportField=Letter1Column~{}|ReportField=Letter2Column~{}|ReportField=Letter3Column~{}|ReportField=Mass~{Масса}|ReportField=ModifiedDate~27.01.2016|ReportField=NormInspection~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.67:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=2970:PaperWidth=2100:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProcessInspection~|ReportField=ProjectName~PLC1.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~{Масш.}|ReportField=SheetNumber~1|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=Title1str~{Наименование}|ReportField=Title2str~{Наименование}|ReportField=DataSourceFileName~PLC1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\User5\Desktop\WORK\PLC\MONITOR\PROJECT\PLC1.PrjPcb
1|TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8||TEST 10.4V, TEST 5V, TEST LEDV, TEST VCC, TEST 1.8VA, TEST 1.8VD, TEST 16V, TEST -7V|JUMPER 2.54||8
2|L4|SS1004100YS|SS1004100YS|SS1004100YS|SS1004|1
3|L2, L3|SS0704470YS|SS0704470YS|SS0704470YS||2
4|L1, L8|SS0704100YS|SS0704100YS|SS0704100YS||2
5|DA12|LM4667MM/NOPB|LM4667MM|LM4667MM/NOPB|VSSOP-10|1
6|XP6, XP7||JMP|JUMPER 2.54||2
7|L5, L6, L7, L9, L10, L11, L12, L13|BLM18PG471SH1D|BLM18PG471SH1D|BLM18PG471SH1D|0603|8
8|DA10, DA11|ASSR-1228-302E|ASSR-1228-302E|RS-485 PHY|PDIP-8 GULL|2
9|XS4|0522710879|0522710879|0522710879||1
10|XS1|84952-4|84952-4|84952-4||1
11|R3, R16, R46, R47, R49, R50, R62, R63, R64, R70, R74, R99|CRCW0603390RFKEA, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL, RC0603FR-07390RL|390|0603, 390|0603|12
12|R65, R66, R67, R69|CRCW1206150RFKEA, CRCW1206150RFKEA, CRCW12061K50FKEA, CRCW12061K50FKEA|150, 150, 1.5k, 1.5k||1206|4
13|R41, R42, R43|NRC50J121TRF|120|2010|2010|3
14|C26, C33, C110|CC0603JRNPO9BN101|100pF||0603|3
15|R29, R30, R31, R32, R34, R35, R36, R37, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R101, R102, R103, R104, R105, R106|CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, CR0402-FX-1000GLF, RC0402JR-071ML|100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 1M|0402|0402|38
16|R107, R108, R109, R110|RC0603JR-0775RL|75|0603|0603|4
17|C35, C39, C44, C46|GRM31CR61A476KE15L|47uF||1206|4
18|BQ2, BQ3|TSX-3225 25.0000MF20X-AJ0-ND, EPSON TSX-3225 27.0000MF10Z-K3|25M, 27M||TSX-3225|2
19|C30, C31, C38|CC0603KRX7R9BB223|22nF|10% X7R 0603|0603|3
20|R5, R6, R12, R39, R40, R52, R61, R68, R72|RC0603JR-0722K, RC0603JR-0722K, CRCW060310K0JNE, CRCW060310K0JNE, CRCW060310K0JNE, CRCW060310K0JNE, CRCW060310K0JNE, CRCW060310K0JNE, CRCW060310K0JNE|22k, 22k, 10k, 10k, 10k, 10k, 10k, 10k, 10k|0603, 0603, 0603, 10k, 0603, 10k, 0603, 10k, 0603, 10k, 0603, 10k, 0603, 10k, 0603, 10k|0603|9
21|R51, R53, R54, R73|CRCW020122R0JNED|22|0603, 22|0603|4
22|R17|CRCW060315K0JNTA|15к|0603, 15k|0603|1
23|R13|CRCW060312K0FKEA|12k|0603|0603|1
24|R19|3302X-3-103E|10к|||1
25|C2, C3, C4, C5, C32, C36, C40, C61|GRM31CR61H106KA12L|10uF||1210|8
26|R18|CRCW06036K80JNEA|6.8к|0603, 6.8k|0603|1
27|R10|RC0603JR-075K1L|5,1k|0603, 5.1k|0603|1
28|R2, R15, R20, R21, R22, R23, R24, R25, R26, R27, R28, R33, R38, R44, R45, R48, R55, R56, R57, R58, R71, R100|CRCW0603-472JRT1|4,7k|0603, 100|0603|22
29|R7, R11|RC0603FR-073KL|3k|0603|0603|2
30|VD5|BZG05C3V3TR3|3,3V|BZG05C3V3TR3|DO-214AC|1
31|R4|CRCW06032K80FKTA|2.8k|0603, 390|0603|1
32|R9|CR0603-J/-2R7GLF|2.7|0603 2.7 Ohm 1% 0.125W|0603|1
33|C65, C66, C76, C78, C115, C116, C118|0603YC105KAT2A, 0603YC105KAT2A, 0603YC105KAT2A, 0603YD105KAT2A, 0603YC105KAT2A, 0603YC105KAT2A, 0603YC105KAT2A|1uF||0603|7
34|R8, R14|RC0603FR-071KL|1k|0603|0603|2
35|C1, C13, C14, C16, C28, C29, C34, C41, C42, C43, C45, C47, C54, C56, C57, C59, C62, C64, C72|C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L|0.22uF, 0.22uF, 0.22uF, 0.22uF, 0.22uF, 0.22uF, 0.22uF, 0.22uF, 0.22uF, 0.22uF, 0.22uF, 10uF, 10uF, 10uF, 10uF, 10uF, 10uF, 10uF, 10uF||[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805|19
